quarter,year,q,quarter_date,stata_qdate,brazil_gdp_real,ln_brazil_gdp_real
2013Q2,2013,2,2013-04-01,213,307918.3,12.637589767027864
2013Q3,2013,3,2013-07-01,214,309354.2,12.642242177721666
2013Q4,2013,4,2013-10-01,215,309854.4,12.643857788708987
2014Q1,2014,1,2014-01-01,216,312481.8,12.652301506462578
2014Q2,2014,2,2014-04-01,217,307853.6,12.637379624277804
2014Q3,2014,3,2014-07-01,218,307668,12.636776558501964
2014Q4,2014,4,2014-10-01,219,309278.8,12.641998414455324
2015Q1,2015,1,2015-01-01,220,306865.6,12.63416514569721
2015Q2,2015,2,2015-04-01,221,299601.6,12.610208871064879
2015Q3,2015,3,2015-07-01,222,294668.2,12.59360525655804
2015Q4,2015,4,2015-10-01,223,292402.4,12.585886214758412
2016Q1,2016,1,2016-01-01,224,288212.9,12.571454722128763
2016Q2,2016,2,2016-04-01,225,289022.2,12.574258780753322
2016Q3,2016,3,2016-07-01,226,287439.2,12.568766638593992
2016Q4,2016,4,2016-10-01,227,287158.8,12.567790651826694
2017Q1,2017,1,2017-01-01,228,290082.8,12.577921678451744
2017Q2,2017,2,2017-04-01,229,292505.3,12.58623806514801
2017Q3,2017,3,2017-07-01,230,293200.8,12.588612977503871
2017Q4,2017,4,2017-10-01,231,294788.9,12.594014785942578
2018Q1,2018,1,2018-01-01,232,296535.2,12.59992120875456
2018Q2,2018,2,2018-04-01,233,296243.7,12.598937705382573
2018Q3,2018,3,2018-07-01,234,299090.8,12.608502485201477
2018Q4,2018,4,2018-10-01,235,298300.3,12.605855976201294
2019Q1,2019,1,2019-01-01,236,299228,12.608961103591554
2019Q2,2019,2,2019-04-01,237,300916.7,12.614588761244228
2019Q3,2019,3,2019-07-01,238,300973.1,12.614776170966621
2019Q4,2019,4,2019-10-01,239,303620.4,12.623533515922107
2020Q1,2020,1,2020-01-01,240,296691.6,12.600448494452454
2020Q2,2020,2,2020-04-01,241,270333,12.507409811383058
2020Q3,2020,3,2020-07-01,242,291742.3,12.583626157341218
2020Q4,2020,4,2020-10-01,243,302931,12.621260335786461
2021Q1,2021,1,2021-01-01,244,305627.6,12.630122646332552
2021Q2,2021,2,2021-04-01,245,303499.4,12.623134912543986
2021Q3,2021,3,2021-07-01,246,303900.3,12.624454966071228
2021Q4,2021,4,2021-10-01,247,307920.3,12.637596262236187
2022Q1,2022,1,2022-01-01,248,310143.5,12.64479037258049
2022Q2,2022,2,2022-04-01,249,313709.1,12.656221402364977
2022Q3,2022,3,2022-07-01,250,316921.1,12.66640812598064
2022Q4,2022,4,2022-10-01,251,318222.2,12.670505159894049
2023Q1,2023,1,2023-01-01,252,322619.7,12.684229509144792
2023Q2,2023,2,2023-04-01,253,325202.5,12.692203344203119
2023Q3,2023,3,2023-07-01,254,325529.5,12.693208366324436
2023Q4,2023,4,2023-10-01,255,326572.9,12.696408479958219
2024Q1,2024,1,2024-01-01,256,329120.6,12.704179527928389
2024Q2,2024,2,2024-04-01,257,334698.4,12.720985106787634
2024Q3,2024,3,2024-07-01,258,337444,12.729154849601565
2024Q4,2024,4,2024-10-01,259,337444.9,12.729157516707218
2025Q1,2025,1,2025-01-01,260,342440.5,12.743853198965157
2025Q2,2025,2,2025-04-01,261,343450.6,12.746798566619683
2025Q3,2025,3,2025-07-01,262,343527.8,12.747023318956366
2025Q4,2025,4,2025-10-01,263,344027,12.748475421647578
