quarter,year,q,quarter_date,stata_qdate,itcrm,ln_itcrm,itcrm_daily_obs
2020Q1,2020,1,2020-01-01,240,117.96600358057067,4.770396477705973,91
2020Q2,2020,2,2020-04-01,241,113.21443479558648,4.729283673501698,91
2020Q3,2020,3,2020-07-01,242,118.78197430605286,4.777289663985635,92
2020Q4,2020,4,2020-10-01,243,120.28744341362085,4.7898842402563115,92
2021Q1,2021,1,2021-01-01,244,121.34966580399175,4.798676178184407,90
2021Q2,2021,2,2021-04-01,245,116.98878756330764,4.762078097413259,91
2021Q3,2021,3,2021-07-01,246,111.93286387330615,4.71789926186266,92
2021Q4,2021,4,2021-10-01,247,103.76644074349484,4.642142611554097,92
2022Q1,2022,1,2022-01-01,248,101.88547272358794,4.623849366018236,90
2022Q2,2022,2,2022-04-01,249,97.54341197957987,4.5802975299815705,91
2022Q3,2022,3,2022-07-01,250,90.96048197691148,4.510425148206952,92
2022Q4,2022,4,2022-10-01,251,90.56663544030137,4.506085882975411,92
2023Q1,2023,1,2023-01-01,252,94.49542312745363,4.5485514008130865,90
2023Q2,2023,2,2023-04-01,253,93.60862978564312,4.539122577798083,91
2023Q3,2023,3,2023-07-01,254,100.4506530763602,4.60966659274663,92
2023Q4,2023,4,2023-10-01,255,99.41308245536746,4.599283719241243,92
2024Q1,2024,1,2024-01-01,256,118.1901584254535,4.77229483945352,91
2024Q2,2024,2,2024-04-01,257,93.45550188001316,4.537485407289026,91
2024Q3,2024,3,2024-07-01,258,87.03929664288918,4.466359702225823,92
2024Q4,2024,4,2024-10-01,259,81.86583418904911,4.405081738852636,92
2025Q1,2025,1,2025-01-01,260,80.39674780610032,4.386973725193909,90
2025Q2,2025,2,2025-04-01,261,84.11974136866203,4.43224127627749,91
2025Q3,2025,3,2025-07-01,262,95.26871113718741,4.556701437099701,92
2025Q4,2025,4,2025-10-01,263,96.53608212306617,4.569916846469808,92
