quarter,year,q,quarter_date,stata_qdate,commodity_price_index,ln_commodity_price_index,commodity_monthly_obs
2016Q1,2016,1,2016-01-01,224,54.377673656026666,3.9959536588855573,3
2016Q2,2016,2,2016-04-01,225,64.41065527324668,4.165279073977732,3
2016Q3,2016,3,2016-07-01,226,65.58718781934334,4.1833803692430624,3
2016Q4,2016,4,2016-10-01,227,70.39556879289,4.254130317900173,3
2017Q1,2017,1,2017-01-01,228,73.87799125507,4.302414965668902,3
2017Q2,2017,2,2017-04-01,229,70.07398208909666,4.249551570924608,3
2017Q3,2017,3,2017-07-01,230,72.28790278676999,4.280656795480157,3
2017Q4,2017,4,2017-10-01,231,79.91544004737666,4.3809690762482605,3
2018Q1,2018,1,2018-01-01,232,85.26146271861333,4.44572256716707,3
2018Q2,2018,2,2018-04-01,233,91.13117653729,4.512299968962279,3
2018Q3,2018,3,2018-07-01,234,90.63714098687333,4.506864073712052,3
2018Q4,2018,4,2018-10-01,235,84.82029610029333,4.440534854965762,3
2019Q1,2019,1,2019-01-01,236,80.31423779745667,4.385946912800428,3
2019Q2,2019,2,2019-04-01,237,82.42124893009,4.411843279036459,3
2019Q3,2019,3,2019-07-01,238,76.59638222425001,4.338549846182767,3
2019Q4,2019,4,2019-10-01,239,78.04469287092,4.35728164812068,3
2020Q1,2020,1,2020-01-01,240,68.09163375543666,4.220854353265426,3
2020Q2,2020,2,2020-04-01,241,52.19675233142333,3.955020277079989,3
2020Q3,2020,3,2020-07-01,242,63.14784121161333,4.145478663122918,3
2020Q4,2020,4,2020-10-01,243,68.82390291089,4.231551110631227,3
2021Q1,2021,1,2021-01-01,244,85.92560660318334,4.453481882393065,3
2021Q2,2021,2,2021-04-01,245,95.63818542888333,4.56057216947918,3
2021Q3,2021,3,2021-07-01,246,105.02549576107,4.654203137454398,3
2021Q4,2021,4,2021-10-01,247,117.00361524598334,4.762204833858695,3
2022Q1,2022,1,2022-01-01,248,136.78651911557665,4.918421455855845,3
2022Q2,2022,2,2022-04-01,249,153.19807245803,5.031731675360693,3
2022Q3,2022,3,2022-07-01,250,150.08906269768335,5.011228869213574,3
2022Q4,2022,4,2022-10-01,251,130.02102404001667,4.867696160764509,3
2023Q1,2023,1,2023-01-01,252,112.00943778669,4.718583133697508,3
2023Q2,2023,2,2023-04-01,253,103.67118567228334,4.641224214255086,3
2023Q3,2023,3,2023-07-01,254,108.90978098749333,4.690519842136104,3
2023Q4,2023,4,2023-10-01,255,107.55717038960667,4.678022523780604,3
2024Q1,2024,1,2024-01-01,256,104.41107045027333,4.648335708622544,3
2024Q2,2024,2,2024-04-01,257,108.55613030253333,4.687267369188761,3
2024Q3,2024,3,2024-07-01,258,104.58040974189,4.649956246727926,3
2024Q4,2024,4,2024-10-01,259,103.00721983467334,4.634799081255328,3
2025Q1,2025,1,2025-01-01,260,105.30168950888334,4.656829463729955,3
2025Q2,2025,2,2025-04-01,261,96.62689216026334,4.570857089228279,3
2025Q3,2025,3,2025-07-01,262,97.20462422484667,4.576818284664469,3
2025Q4,2025,4,2025-10-01,263,94.25296180319,4.5459822508019,3
