quarter,year,q,quarter_date,stata_qdate,usa_gdp_real,ln_usa_gdp_real
2020Q2,2020,2,2020-04-01,241,19077.992,9.856290698373899
2020Q3,2020,3,2020-07-01,242,20558.879,9.931048194736347
2020Q4,2020,4,2020-10-01,243,20791.917,9.94231958439339
2021Q1,2021,1,2021-01-01,244,21082.134,9.956181230928129
2021Q2,2021,2,2021-04-01,245,21440.929,9.973056944469892
2021Q3,2021,3,2021-07-01,246,21617.828,9.981273623611811
2021Q4,2021,4,2021-10-01,247,21988.737,9.998285646701525
2022Q1,2022,1,2022-01-01,248,21932.71,9.995734408788572
2022Q2,2022,2,2022-04-01,249,21967.045,9.997298654739424
2022Q3,2022,3,2022-07-01,250,22125.625,10.004491718064717
2022Q4,2022,4,2022-10-01,251,22278.345,10.01137040941504
2023Q1,2023,1,2023-01-01,252,22439.607,10.018582846114288
2023Q2,2023,2,2023-04-01,253,22580.499,10.024841936662304
2023Q3,2023,3,2023-07-01,254,22840.989,10.036311964058395
2023Q4,2023,4,2023-10-01,255,23033.78,10.044717113084864
2024Q1,2024,1,2024-01-01,256,23082.119,10.04681352749951
2024Q2,2024,2,2024-04-01,257,23286.508,10.055629416042246
2024Q3,2024,3,2024-07-01,258,23478.57,10.063843369191295
2024Q4,2024,4,2024-10-01,259,23586.542,10.068431574119625
2025Q1,2025,1,2025-01-01,260,23548.21,10.066805088063203
2025Q2,2025,2,2025-04-01,261,23770.976,10.07622061967116
2025Q3,2025,3,2025-07-01,262,24026.834,10.086926568073764
2025Q4,2025,4,2025-10-01,263,24055.749,10.088129290626568
