"system","ecdet","spec","selected_var_lag","johansen_k","rank_used","equation","term","coefficient","coefficient_block","status","note","inference_available","inference_note"
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_imports_real.dl3",-0.0408002330368534,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_gdp_real.dl3",-0.0826418597368479,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_gdp_real.d","ln_itcrm.dl3",-0.0600542113064026,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","sd1",-0.0435691806408254,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","sd2",-0.0059022029546871,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","sd3",0.0679389286671723,"deterministic","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_imports_real.dl1",0.00323614061395185,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_gdp_real.dl1",-0.337336892519757,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_itcrm.dl1",0.199466056155817,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_imports_real.dl2",0.139635924042322,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_gdp_real.dl2",-0.417806155934741,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_itcrm.dl2",-0.0753098563155438,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_imports_real.dl3",-0.150014836831751,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_gdp_real.dl3",0.167397269248551,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
"imports","const","transitory",4,4,1,"ln_itcrm.d","ln_itcrm.dl3",-0.0899677451043321,"short_run","ok","VECM estimado para importaciones con el rango de traza al 5%; se reporta como extension multivariada y respaldo del ECM uniecuacional.",FALSE,"cajorls no entrego errores estandar, estadisticos ni p-valores en una estructura exportable; se reportan coeficientes estimados."
